N	Language	ISO-639 code		Text
-----------------------------------------------------
1	afrikaans	af			Ma
2	albanian	sq			mami
3	amharic		am			እናት
4	arabic		ar			أم
5	armenian	hy			Մայրիկ
6	assamese	as			মা
7	aymara		ay			Tayka
8	azerbaijani	az			ana
9	bambara		bm			Ba
10	basque		eu			ama
11	belarusian	be			Мама
12	bengali		bn			মা
13	bhojpuri	bho			माई
14	bosnian		bs			mama
15	bulgarian	bg			мамо
16	catalan		ca			mare
17	cebuano		ceb			Mama
18	chichewa	ny			Amayi
19	chinese (simplified)	zh-CN			妈妈
20	chinese (traditional)	zh-TW			媽媽
21	corsican	co			Mamma
22	croatian	hr			Mama
23	czech		cs			mam
24	danish		da			Mor
25	dhivehi		dv			މަންމަ
26	dogri		doi			मां
27	dutch		nl			Mama
28	english		en			Mom
29	esperanto	eo			Panjo
30	estonian	et			Ema
31	ewe		ee			Dada
32	filipino	tl			Nanay
33	finnish		fi			Äiti
34	french		fr			Maman
35	frisian		fy			Mem
36	galician	gl			Mamá
37	georgian	ka			დედა
38	german		de			Mama
39	greek		el			Μαμά
40	guarani		gn			Sy
41	gujarati	gu			મમ્મી
42	haitian creole	ht			Manman
43	hausa		ha			Inna
44	hawaiian	haw			Māmā
45	hebrew		iw			אִמָא
46	hindi		hi			माँ
47	hmong		hmn			Niam
48	hungarian	hu			Anya
49	icelandic	is			Mamma
50	igbo		ig			Nne
51	ilocano		ilo			Inang
52	indonesian	id			Mama
53	irish		ga			Mam
54	italian		it			Mamma
55	japanese	ja			お母さん
56	javanese	jw			ibu
57	kannada		kn			ಅಮ್ಮ
58	kazakh		kk			Анашым
59	khmer		km			ម៉ាក់
60	kinyarwanda	rw			Mama
61	konkani		gom			आई
62	korean		ko			엄마
63	krio		kri			Mama
64	kurdish (kurmanji)	ku			Mom
65	kurdish (sorani)	ckb			دایک
66	kyrgyz		ky			Апа
67	lao		lo			ບ້ານມອມ
68	latin		la			Mater
69	latvian		lv			Mamma
70	lingala		ln			Mama
71	lithuanian	lt			Mama
72	luganda		lg			Maama
73	luxembourgish	lb			Mamm
74	macedonian	mk			Мајка
75	maithili	mai			मां
76	malagasy	mg			Neny
77	malay		ms			mak
78	malayalam	ml			അമ്മ
79	maltese		mt			Omm
80	maori		mi			Mama
81	marathi		mr			आई
82	meiteilon (manipuri)	mni-Mtei			ꯃꯃꯥ
83	mizo		lus			Nu
84	mongolian	mn			Ээж ээ
85	myanmar		my			အမေ့
86	nepali		ne			आमा
87	norwegian	no			Mamma
88	odia (oriya)	or			ମା
89	oromo		om			Ayyoo
90	pashto		ps			مور
91	persian		fa			مامان
92	polish		pl			Mama
93	portuguese	pt			Mãe
94	punjabi		pa			ਮੰਮੀ
95	quechua		qu			Mama
96	romanian	ro			mama
97	russian		ru			Мама
98	samoan		sm			Tina
99	sanskrit	sa			माता
100	scots gaelic	gd			Mamaidh
101	sepedi		nso			Mma
102	serbian		sr			мама
103	sesotho		st			Mme
104	shona		sn			Amai
105	sindhi		sd			ماءُ
106	sinhala		si			අම්මා
107	slovak		sk			mom
108	slovenian	sl			mami
109	somali		so			Hooyo
110	spanish		es			Mamá
111	sundanese	su			Ema
112	swahili		sw			Mama
113	swedish		sv			Mamma
114	tajik		tg			Модар
115	tamil		ta			அம்மா
116	tatar		tt			Әни
117	telugu		te			అమ్మ
118	thai		th			แม่
119	tigrinya	ti			ኣደይ
120	tsonga		ts			Manana
121	turkish		tr			Anne
122	turkmen		tk			Eje
123	twi		ak			Maame
124	ukrainian	uk			мама
125	urdu		ur			ماں
126	uyghur		ug			ئانا
127	uzbek		uz			Onam
128	vietnamese	vi			Mẹ
129	welsh		cy			Mam
130	xhosa		xh			Mama
131	yiddish		yi			מאמע
132	yoruba		yo			Mama
133	zulu		zu			Umama
